send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-07-07,2025-07-05,24-301120,II,2025,Jl. Celentang Sako Kenten,Kota Palembang,DODO,SBM Sumsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,86.86,84.00,100.00,88.20,93.00,47.16,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-07,2025-07-05,34-46108,III,2025,Jl. Raya Ciawi Tasikmalaya,Kab Tasikmalaya,DODO,SBM Bandung IV Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,92.59,96.67,100.00,89.19,95.50,62.10,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-07,2025-07-05,54-62228,V,2025,JL. RAYA LAMONGAN - MANTUP KM 13 DESA PELANG KEC. KEMBANG BAHU,Kab Lamongan,DODO,SBM Surabaya III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,87.25,81.33,96.52,91.90,100.00,55.15,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,44-51105,IV,2025,Jl.Urip Sumoharjo,Kota Pekalongan,DODO,SBM Tegal II Fuel,TAGE3,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,82.04,74.00,100.00,76.46,88.00,57.16,Basic,,"Jalur Fast Track, NFR, Produk JBU"
2025-07-08,2025-07-05,34-41218,III,2025,Jl. Raya Pamanukan Binong,Kab Subang,DODO,SBM Karawang III Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,89.73,94.00,91.93,85.15,100.00,69.23,Pasti Pas Good,,NFR
2025-07-07,2025-07-05,44-55609,IV,2025,Jl. Raya Brosot - Galur,Kab Kulon Progo,DODO,SBM Yogyakarta I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.04,92.67,100.00,87.70,100.00,57.01,Pasti Pas Good,,"Produk JBU, NFR"
2025-07-08,2025-07-05,54-68414,V,2025,Ds.Yosomulyo Gambiran,Kab Banyuwangi,DODO,SBM Malang III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,87.59,87.33,92.72,91.10,97.00,56.56,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-08,2025-07-05,64-78121,VI,2025,"JL. DR WAHIDIN SUDIROHUSODO, KEL. SUNGAI JAWI, PONTIANAK KOTA",Kota Pontianak,DODO,SBM Kalbar I Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,89.42,92.67,93.06,92.07,100.00,52.81,Pasti Pas Good,,NFR
2025-07-07,2025-07-05,34-42102,III,2025,"Jl. Raya Serang,Cikande",Kab Serang,DODO,SBM Banten II Fuel,DAE,DAE,CERTIFIED,CERTIFIED,92.09,91.33,100.00,90.58,95.00,70.70,Pasti Pas Excellent,,
2025-07-08,2025-07-05,44-55617,IV,2025,"Dk Setan, Wijimulyo, Nanggulan, Kulonprogo",Kab Kulon Progo,DODO,SBM Yogyakarta I Fuel,DAE,DAGE,CERTIFIED,NOT CERTIFIED,91.22,92.67,100.00,92.78,95.00,53.58,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,74-91568,VII,2025,JL.POROS MAMUJU PALU KEC SAMPAGA DESA BUNDU,Kota Mamuju,,SBM Sulselbar V Fuel,DAG1,TAG1,NOT CERTIFIED,NOT CERTIFIED,85.01,92.67,92.72,83.00,90.50,37.48,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-07,2025-07-05,14-203179,I,2025,Jl.Tanjung Morawa - Lubuk Pakam - Deli Serdang,Kab Deli Serdang,DODO,SBM Medan II Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,88.18,83.67,100.00,88.63,93.00,60.46,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-08,2025-07-05,53-68135,V,2025,Jl. Basuki Rahmat No.5-7 Kelurahan Kebonsari Sumbersari Jember,Kab Jember,CODO I,SBM Malang II Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,91.33,89.33,100.00,93.77,99.00,58.66,Pasti Pas Good,,NFR
2025-07-07,2025-07-05,24-353141,II,2025,Jl. Raya Tekad Kec. Pulau Panggung Desa Tekad,Kab Tanggamus,DODO,SBM Lampung III Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,85.98,80.00,100.00,89.70,93.00,47.36,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,34-45127,III,2025,Desa Astanamukti Pengarengan,Kab Cirebon,DODO,SBM Cirebon I Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,91.28,97.33,100.00,89.95,96.00,44.90,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-08,2025-07-05,84-97801,VIII,2025,Ds. Sofifi Kec. Oba Utara,Kota Tidore Kep,DODO,SBM Maluku Utara I,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.4,95.73,100.00,90.35,95.00,40.96,Pasti Pas Good,,NFR
2025-07-07,2025-07-05,44-57224,IV,2025,"JL. Raya Desa Gabungan, Kec. Tanon",Kab Sragen,DODO,SBM Yogyakarta IV Fuel,TAGE3,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,76.47,69.00,84.48,79.26,94.00,51.70,Basic,"Masa Berlaku APAR, APAB","Masa Berlaku APAR, APAB, NFR, Jalur Fast Track"
2025-07-08,2025-07-05,34-17301,III,2025,Jl. Raya Cikarang - Cibarusah,Kab Bekasi,DODO,SBM Karawang I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,81.59,81.33,100.00,92.75,45.00,41.36,Pasti Pas Good,,"Produk JBU, NFR"
2025-07-08,2025-07-05,54-61252,V,2025,Jl. Raya Gelam Candi,Kab Sidoarjo,,SBM Surabaya II Fuel,DAE,DAE,CERTIFIED,CERTIFIED,88.82,85.33,100.00,87.20,95.00,62.73,Pasti Pas Excellent,,
2025-07-07,2025-07-05,54-601110,V,2025,Jl. Pecindilan No.50,Kota Surabaya,DODO,SBM Surabaya I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,80.84,80.33,86.13,87.35,89.50,44.70,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-08,2025-07-05,34-17603,III,2025,"Jl. KH. Noer Ali, Kec. Babelan",Kab Bekasi,DODO,SBM Karawang I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,88.56,80.00,100.00,91.40,100.00,62.83,Pasti Pas Good,,"Produk JBU, NFR"
