send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,result,Total Score,SSS,EQnQ,RFS,kelas_spbu,penalty_alerts
2026-02-13,2026-02-12,34-12305,III,2026,"Jl. RC Veteran Rempoa Raya, Bintaro",Kota Jakarta Selatan,DODO,SBM Jabode III Fuel,BOA1,BOA2,NOT CERTIFIED,"85,15","65,67","91,93","94,77",Basic,Izin Prinsip
2026-02-12,2026-02-11,24-36392,II,2026,Jl. Lintas Sungai Gelam Desa Sungai Gelam Kab. Muaro Jambi      ,Kab. Muaro Jambi,DODO,SBM Jambi I Fuel,BOA1,BOA2,NOT CERTIFIED,"37,35",33,"19,83","53,75",Basic,"Masa Berlaku APAR, Trims, Nol, Salam, CCTV, DU Dispenser, Pelumas, APAR, Izin Prinsip"
2026-02-11,2026-02-11,53-62225,V,2026,JL. Raya Babat-Jombang KM 25 Dusun Sambirejo Desa Sidokumpul Kec. Sambeng,Kab. Lamongan,CODO I,SBM Surabaya III Fuel,BOA1,BOA2,NOT CERTIFIED,"87,42","87,33","98,87","78,82",Basic,
2026-02-18,2026-02-11,54-86303,V,2026,Jl. Prof WZ Yohanes,Kab Ende,,SBM NTT II Fuel,BOA1,CA,CERTIFIED,"91,47",89,"96,17","89,8",Basic,
2026-02-11,2026-02-11,64-71501,VI,2026,"Jl. Phm noor, rt 05, kel. Mabuun raya",Kab Tabalong,DODO,SBM Kalsel II Fuel,BOA1,BOA2,NOT CERTIFIED,"80,4",79,"62,62","94,38",Basic,Izin Prinsip
2026-02-10,2026-02-10,14-2896120,I,2026,Jl. Lintas Bagan Siapi-api,Kab Rokan Hilir,,SBM Riau II Fuel,BOA1,BOA2,NOT CERTIFIED,"51,83",39,"61,54","54,29",Basic,"CCTV, Masa Berlaku APAR, APAB, Pelumas, APAR, Trims"
2026-02-11,2026-02-10,54-65106,V,2026,Jl. Soekarno Hatta,Kota Malang,DODO,SBM Malang I Fuel,BOA1,CA,CERTIFIED,"97,28","96,33","97,38",98,Basic,
2026-02-10,2026-02-09,34-46128,III,2026,jl Ez Mutaqin. Cikurubuk Tasikmalaya,Kota Tasikmalaya,DODO,SBM Bandung IV Fuel,BOA1,CA,CERTIFIED,"88,08",83,"95,44","86,29",Basic,
2026-02-20,2026-02-09,44-50125,IV,2026,Jl.Woltermonginsidi Bangetayu,Kota Semarang,,SBM Semarang I Fuel,BOA1,BOA2,NOT CERTIFIED,"64,98",60,"61,48","71,14",Basic,"Pelumas, Masa Berlaku APAR, Izin Prinsip, DU Dispenser"
2026-02-04,2026-02-03,44-51105,IV,2026,Jl.Urip Sumoharjo,Kota Pekalongan,DODO,SBM Tegal II Fuel,BOA1,CA,CERTIFIED,"95,25",88,100,"97,17",Basic,
