send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-09-13,2025-09-11,84-99104,VIII,2025,"Jl. Gerilyawan Tanah Hitam, Abepura",Kota Jayapura,DODO,SBM Papua I,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.76,88.67,99.04,93.80,97.00,49.90,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-09-11,2025-09-11,34-43117,III,2025,Jl. Raya Purabaya,Kab Sukabumi,DODO,SBM Sukabumi I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,82.33,82.33,85.43,87.70,97.00,47.60,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-09-12,2025-09-11,34-42121,III,2025,Jl. Raya Serang Pakupatan,Kota Serang,DODO,SBM Banten II Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,85.96,83.67,100.00,86.31,92.00,43.78,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-09-11,2025-09-11,34-16611,III,2025,Jl. Raya Cibungbulang Ds. Leuweun,Kab Bogor,DODO,SBM Jabode V Fuel,DAGE,DAE,CERTIFIED,CERTIFIED,87.87,86.67,85.89,91.92,99.00,78.10,Pasti Pas Excellent,,
2025-09-12,2025-09-11,54-66104,V,2025,"Jl. Sudanco Supriyadi 24, Kec. Sanan Wetan, Kota Blitar",Kota Blitar,DODO,SBM Kediri II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.13,83.33,97.12,95.80,98.00,60.30,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-09-13,2025-09-11,73-95604,VII,2025,"JL. RAYA MANADO TOMOHON KM.11, Minahasa induk",Kab Minahasa,CODO,SBM Sulutgo II Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,88.59,89.33,99.04,92.64,92.00,43.56,Pasti Pas Good,Izin Prinsip,"NFR, Izin Prinsip, Jalur Fast Track"
2025-09-12,2025-09-11,54-60196,V,2025,Jl. Raya Arjuna No.80,Kota Surabaya,DODO,SBM Surabaya I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.91,89.33,100.00,91.75,99.00,68.60,Pasti Pas Good,,NFR
2025-09-12,2025-09-11,44-59307,IV,2025,Jl.Raya Kalipang sarang Rembang,Kab Rembang,DODO,SBM Semarang IV Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,89.28,88.00,99.04,93.99,93.00,50.60,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-09-13,2025-09-11,44-50502,IV,2025,Jl.Diponegoro no.178 Ungaran,Kab Semarang,DODO,SBM Semarang I Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,82.93,84.00,90.71,86.86,78.00,53.40,Pasti Pas Good,HP,"HP, NFR"
2025-09-11,2025-09-11,44-55106,IV,2025,"Jl. Wates Km. 2, Kadipiro",Kab Bantul,DODO,SBM Yogyakarta I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,91.8,91.33,100.00,87.79,99.00,69.53,Pasti Pas Excellent,,
