send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-11-04,2025-11-03,64-70711,VI,2025,"Jl. Lingkar Utara (jalur baru bandara) Kel. Syamsudin Noor, Kec. Landasan Ulin, kota Banjarbaru",Kota Banjarbaru,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.28,88.67,100.00,91.66,85.00,58.40,Pasti Pas Good,,"Produk JBU, NFR, Jalur Fast Track"
2025-11-03,2025-11-03,24-33168,II,2025,"Jl. Mayor Syafrie Rahman, Bukit Intan",Kota Pangkal Pinang,DODO,SBM Babel I,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.04,91.67,99.04,93.60,90.00,51.10,Pasti Pas Good,,NFR
2025-11-04,2025-11-03,14-231115,I,2025,"Jl. Syah Kuala No. 8, Dusun Tgk. Diblang Kp. Mulia, Kec. Kuta Alam, Banda Aceh",Kota Banda Aceh,DODO,SBM Aceh I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,92.45,90.67,96.52,93.30,99.00,77.40,Pasti Pas Excellent,,
2025-11-04,2025-11-03,24-35376,II,2025,"Jl. Raya Tambaksari, Gading Rejo",Kab Pringsewu,DODO,SBM Lampung I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,90.16,86.33,100.00,92.70,94.00,63.23,Pasti Pas Excellent,,
2025-11-03,2025-11-03,74-94103,VII,2025,Jl Kartini Palu,Kota Palu,DODO,SBM Sulteng I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.03,96.67,98.99,90.94,94.00,47.53,Pasti Pas Good,,NFR
2025-11-04,2025-11-03,34-15509,III,2025,Jl. Raya Kota Bumi Sepatan,Kab Tangerang,,SBM Banten I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,86.74,83.78,100.00,89.97,98.00,40.33,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-04,2025-11-03,14-294735,I,2010,Jl.Sriwijaya Kel.Kampung Pelita - Batam,Kota Batam,DODO,SBM Kepulauan Riau I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,94.87,97.67,98.17,93.40,100.00,74.40,Pasti Pas Excellent,,
2025-11-04,2025-11-03,34-15302,III,2025,Jl. Raya Serpong,Kota Tangerang Sel.,DODO,SBM Banten I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,86.78,84.67,100.00,90.84,78.00,54.10,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-04,2025-11-03,23-30623,II,2025,"Jln Lingkar Selatan, Kec. Pemulutan, Kab. Ogan Ilir",OGAN ILIR,CODO ,SBM Sumsel III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,92.85,87.67,100.00,94.70,98.00,78.10,Pasti Pas Excellent,,
2025-11-04,2025-11-03,44-59513,IV,2025,Jl. Semarang-Gubug Km. 32,Kab Demak,,SBM Semarang III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,89.6,86.67,100.00,92.70,76.00,74.58,Pasti Pas Excellent,,
2025-11-04,2025-11-03,34-16710,III,2025,"Jl. Raya Puncak, Ciawi",Kab Bogor,,SBM Jabode V Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,88.8,80.00,100.00,92.99,100.00,62.10,Pasti Pas Good,,NFR
2025-11-03,2025-11-03,53-62226,V,2025,JL. RAYA BABAT JOMBANG KM. 10800 DS. KALEN KEC. KEDUNGPRING,Kab Lamongan,CODO I,SBM Surabaya III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.79,91.67,99.13,92.75,94.00,45.95,Pasti Pas Good,,NFR
