send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2026-01-22,2026-01-21,54-66102,V,2026,Jl. Panglima Sudirman Wlingi,Kab Blitar,DODO,SBM Kediri II Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,"85,72","80,33","96,35","88,2",95,"55,8",Pasti Pas Good,,NFR
2026-01-26,2026-01-23,54-66103,V,2026,Jl. Tanjung Sukorejo Blitar,Kota Blitar,DODO,SBM Kediri II Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,"89,31","85,33","99,09","89,59",96,"64,4",Pasti Pas Good,,"Jalur Fast Track, NFR"
2026-01-16,2026-01-14,54-66104,V,2026,"Jl. Sudanco Supriyadi 24, Kec. Sanan Wetan, Kota Blitar",Kota Blitar,DODO,SBM Kediri II Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,"80,6","81,33","88,5","81,2",81,"53,1",Pasti Pas Good,,"NFR, Jalur Fast Track"
2026-02-03,2026-01-05,54-66105,V,2026,Ds. Pagerwojo Kec. Kesamben Blitar,Kab Blitar,DODO,SBM Kediri II Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,"84,68","77,67","98,08","87,3",94,"50,93",Pasti Pas Good,,"Jalur Fast Track, NFR"
2026-01-16,2026-01-15,54-66106,V,2026,"Jl. Letjen S. Parman, Gedog",Kota Blitar,,SBM Kediri II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,84,"82,33","93,61","87,8",94,"42,6",Pasti Pas Good,,"Jalur Fast Track, NFR"
2026-01-10,2026-01-07,54-66107,V,2026,JL. CEMARA KEL. KARANGSARI KEC. SUKOREJO,Kota Blitar,,SBM Kediri II Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,"83,01",87,"81,6","90,83",93,"49,5",Pasti Pas Good,,"Jalur Fast Track, NFR"
2026-01-22,2026-01-21,54-66112,V,2026,Kel. Bence Kec. Garum,Kab Blitar,,SBM Kediri II Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,"85,02",82,"95,21","87,8",96,47,Pasti Pas Good,,NFR
2026-01-12,2026-01-10,54-66113,V,2026,Jl. Raya Udanawu Ds Udanawu,Kab Blitar,DODO,SBM Kediri II Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,"84,4",76,"96,17","85,75",98,58,Pasti Pas Good,,"Jalur Fast Track, NFR"
2026-01-10,2026-01-07,54-66114,V,2026,"Jl. Trisula Desa Dauman, Kec. Kademangan",Kab Blitar,,SBM Kediri II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"86,01",81,"98,99","89,08",96,"45,71",Pasti Pas Good,,"Produk JBU, Jalur Fast Track, NFR"
2026-01-26,2026-01-24,54-66115,V,2026,Jl. Raya Siraman Kesamben,Kab Blitar,DODO,SBM Kediri II Fuel,TAGE2,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,"81,32","86,33","79,68","89,7",94,"41,73",Basic,,"Jalur Fast Track, NFR"
