send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,result,Total Score,SSS,EQnQ,RFS,kelas_spbu,penalty_alerts
2026-03-16,2026-03-14,64-73701,VI,2026,Jl. Negara RT 39,Kab Barito Timur,,SBM Kalteng III Fuel,BOA1,BOA2,NOT CERTIFIED,"63,48","55,67","52,54","77,11",Basic,"Izin Prinsip, Pelumas, APAR"
2026-03-25,2026-03-13,14-2886101,I,2026,Jl.Lintas Riau,Kab Rokan Hilir,DODO,SBM Riau II Fuel,BOA1,CA,CERTIFIED,"94,7",88,100,"95,9",Basic,
2026-03-25,2026-03-13,24-38203,II,2026,Jl. Air Sebakul Kota Bengkulu,Kota Bengkulu,DODO,SBM Bengkulu I Fuel,BOA1,BOA2,NOT CERTIFIED,"93,89","96,33","99,04","87,86",Basic,Izin Prinsip
2026-03-17,2026-03-13,54-61107,V,2026,"DS KEPATIHAN KEC. MENGANTI, Kab. Gresik",Kab. Gresik,,SBM Surabaya III Fuel,BOA1,CA,CERTIFIED,"92,03",85,"99,04","92,03",Basic,
2026-03-16,2026-03-13,54-67108,V,2026,"JL. RAYA NO. 70 GADINGREJO, GADINGR",Kodya Pasuruan,,SBM Malang I Fuel,BOA1,BOA2,NOT CERTIFIED,"63,25","67,33","73,17","52,75",Basic,"Izin Prinsip, Pelumas, APAR, APAB, Masa Berlaku APAR"
2026-03-16,2026-03-13,64-79503,VI,2026,"Jl. Raya Sekadau-Sintang, Desa Tapang Semadak, Kec. Sekadau Hilir",KAB. SEKADAU,,SBM Kalbar II Fuel,BOA1,BOA2,NOT CERTIFIED,"46,83","42,67","41,49","54,01",Basic,"Izin Prinsip, Pelumas, APAR, APAB, Masa Berlaku APAR"
2026-03-16,2026-03-13,54-65176,V,2026,"JL. KOL. SUGIONO 176B SUKUN, Kodya Malang",Kodya Malang,,SBM Malang I Fuel,BOA1,BOA2,NOT CERTIFIED,"53,35","60,33","44,96","54,4",Basic,"Izin Prinsip, Pelumas, CCTV, APAR, Masa Berlaku APAR"
2026-03-16,2026-03-13,34-41123,III,2026,JL.ALTERNATIF PWK-KOSAMBI-CURUG,Kab Purwakarta,,SBM Karawang III Fuel,BOA1,CA,CERTIFIED,"93,63",85,100,"95,5",Basic,
2026-03-17,2026-03-13,74-90110,VII,2026,"Jl. St. Hasanuddin Makassar , Kota Makassar",Kodya Makassar,,SBM Sulselbar I Fuel,BOA1,BOA2,NOT CERTIFIED,"88,45",83,"95,21","86,86",Basic,"Izin Prinsip, Pelumas, APAR"
2026-03-14,2026-03-13,54-80325,V,2026,"KEL. JIMBARAN KEC. KUTA SELATAN, Kab. Badung",Kab. Badung,,SBM Bali II Fuel,BOA1,BOA2,NOT CERTIFIED,"83,09",73,"99,04","78,81",Basic,APAR
2026-03-13,2026-03-12,34-46132,III,2026,Jl. AH. Nasution KM. 1 Tasikmalaya,Kab. Tasikmalaya,DODO,SBM Bandung IV Fuel,BOA1,CA,CERTIFIED,"88,91",88,"91,38","87,75",Basic,
2026-03-13,2026-03-12,33-45201,III,2026,JL. RAYA BARU LEUWI GEDE KEL. LEUWI GEDE / KEC. WIDASARI - INDRAMAYU,Kabupaten Indramayu,,SBM Cirebon II Fuel,BOA1,CA,CERTIFIED,"86,07","80,33","89,84","87,46",Basic,
2026-03-16,2026-03-11,34-43306,III,2026,"JL.RY.DS.CIMANGGU, KAB. SUKABUMI",Kabupaten Sukabumi,,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,"86,49","71,67","96,97","89,34",Basic,
2026-03-13,2026-03-10,34-13416,III,2026,Jl. RS. Sukamto,Kota Jakarta Timur,DODO,SBM Jabode I Fuel,BOA1,CA,CERTIFIED,"93,5","96,33","89,96","93,98",Basic,
2026-03-16,2026-03-10,54-60133,V,2026,"BALONG SARI - TANDES, Kodya Surabaya",Kodya Surabaya,,SBM Surabaya I Fuel,BOA1,BOA2,NOT CERTIFIED,"64,87","50,67","80,38","63,64",Basic,"Izin Prinsip, APAR, APAB, Masa Berlaku APAR"
2026-03-09,2026-03-09,34-43226,III,2026,"Jl. Raya Cimacan, Cipanas",Kab Cianjur,DODO,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,77,"62,33","70,68","92,66",Basic,Masa Berlaku APAR
2026-03-09,2026-03-08,64-79304,VI,2026,"JL. RAYA PONTIANAK-NGABANG KM.88 KEC. MANDOR, KAB. LANDAK",KAB. LANDAK,,SBM Kalbar II Fuel,BOA1,BOA2,NOT CERTIFIED,"73,76","52,33","86,01","81,05",Basic,"Izin Prinsip, Masa Berlaku APAR"
2026-03-06,2026-03-03,84-98401,VIII,2026,Jl. Samratulangi  Kampung Baru,Kota Sorong,,SBM Papua Barat I,BOA1,BOA2,NOT CERTIFIED,"64,96","63,33","44,32","81,68",Basic,"APAR, Masa Berlaku APAR"
