send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts
2026-04-20,2026-04-18,54-85107,V,2026,"Jl. Pahlawan, Namosain, Kec. Alak, Kota Kupang",NTT,DODO,SBM NTT I Fuel,Re-CA1,TAG1,CERTIFIED,NOT CERTIFIED,"89,89","94,22",100,"89,61","95,5","40,8",Pasti Pas Good,
2026-04-14,2026-04-14,54-85109,V,2026,JL. PERINTIS KEMERDEKAAN II LILIBA,Kota Kupang,,SBM NTT I Fuel,Re-CA1,TAG1,CERTIFIED,NOT CERTIFIED,"87,89","85,89",100,"92,5",97,"40,8",Pasti Pas Good,
2026-04-07,2026-04-07,54-85110,V,2026,"Jl. Eltari, Liliba Kec. Oesapa",Kota Kupang,DODO,SBM NTT I Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,"79,24","94,67","61,67","90,21",98,"44,96",Pasti Pas Good,
2026-04-02,2026-04-02,54-85111,V,2026,Jl. Jend Suharto no 70,Kota Kupang,DODO,SBM NTT I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"89,44","89,33",100,"92,74",98,"42,8",Pasti Pas Good,
2026-04-16,2026-04-16,54-85112,V,2026,"Jl. El Tari III , Kel.Lesiana",Kota Kupang,,SBM NTT I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,"85,91","80,33",100,"87,4","94,5","48,8",Pasti Pas Good,
2026-04-07,2026-04-07,54-85114,V,2026,Jl. Eltari II Kec. Oebobo,Kota Kupang,DODO,SBM NTT I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"90,65","89,67",100,"90,75",98,58,Pasti Pas Good,
2026-04-06,2026-04-04,54-85116,V,2026,Jl. Perintis Kemerdekaan Kel. TDM,Kota Kupang,DODO,SBM NTT I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"89,72","89,33",100,"90,2",98,"50,8",Pasti Pas Good,
2026-04-21,2026-04-20,54-85118,V,2026,Jl. Yos Sudarso Kel. Alak,Kota Kupang,,SBM NTT I Fuel,TAG3,DAG1,CERTIFIED,NOT CERTIFIED,"89,21","85,67",100,"90,4","94,5","59,8",Pasti Pas Good,
2026-04-08,2026-04-08,54-85329,V,2026,"Jl. Timor Raya, KM 32, Desa. naibonat, Kec Kupang Timur Kab. Kupang",Kota Kupang,DODO,SBM NTT I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"86,47",85,"88,5","94,1",98,58,Pasti Pas Good,
2026-04-09,2026-04-09,54-85502,V,2026,Jl. Raya Kupang Soe,Kab Timor Teng Sel,DODO,SBM NTT I Fuel,DAG1,TAG1,NOT CERTIFIED,NOT CERTIFIED,"88,05","87,33",100,"89,85",98,"40,8",Pasti Pas Good,Grounding
