send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-05-29,2025-05-28,31-15302,III,2025,Jl. Raya Serpong - ,Kota Tangerang Sel.,COCO,SBM Banten I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,98.39,100.00,100.00,94.10,97.00,98.70,Pasti Pas Excellent,,
2025-05-29,2025-05-28,44-57123,IV,2025,"Jl. Bhayangkara No.18, Panularan",Kota Surakarta,DODO,SBM Yogyakarta III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.5,96.67,100.00,89.50,93.00,63.00,Pasti Pas Good,,NFR
2025-05-29,2025-05-27,44-58101,IV,2025,Jl. Putat Purwodadi Grobogan,Kab Grobogan,DODO,SBM Semarang III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.04,84.33,100.00,100.00,95.00,52.40,Pasti Pas Good,,NFR
2025-05-29,2025-05-27,44-52425,IV,2025,"Jl. Raya Pejagan-Prupuk, Desa Marga Ayu, Kec. Margasari, Kab. Tegal",Kab Tegal,DODO,SBM Tegal I Fuel,Re-CAE1,Re-CAE2,NOT CERTIFIED,NOT CERTIFIED,77.83,60.33,96.35,88.88,87.50,42.88,Basic,"HP, Nol","Jalur Fast Track, NFR, Rompi Khusus, Produk JBU, HP, Nol"
2025-05-28,2025-05-27,31-12104,III,2025,Jln Gandaria 1 Kav. 27-28 Kel.Keramat Pela kec.Kebayoran Baru Jakarta Selatan ,Kota Jakarta Selatan,COCO,SBM Jabode III Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,97.82,99.33,100.00,95.68,100.00,88.66,Pasti Pas Good,,Produk JBU
2025-05-28,2025-05-27,54-66311,V,2025,"Jl. Raya Dongko, Karang Tengah, Dongko, Kec. Dongko, Kabupaten Trenggalek",Kab.Trenggalek,DODO,SBM Kediri II Fuel,Re-CAE1,Re-CAE2,NOT CERTIFIED,NOT CERTIFIED,80.96,74.56,100.00,76.95,99.00,37.08,Basic,APAB,"NFR, Produk JBU, APAB"
2025-05-29,2025-05-27,44-52318,IV,2025,"Jl. Hos Cokroaminoto, Pelutan",Kab Pemalang,DODO,SBM Tegal II Fuel,DAG2,DAG3,CERTIFIED,NOT CERTIFIED,89.03,94.00,93.06,90.67,95.00,52.70,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-05-28,2025-05-27,33-16702,III,2025,JL. ENCE SOEMANTADIREJA - CIHIDEUNG,Kab Bogor,CODO I,SBM Jabode V Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.26,99.33,91.67,90.07,93.00,56.70,Pasti Pas Good,,"Produk JBU, Jalur Fast Track"
2025-05-29,2025-05-27,74-96104,VII,2025,Jl.Raya Eyato Kota barat Gorontalo,Kota Gorontalo,DODO,SBM Sulutgo III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,95.28,96.67,100.00,93.63,100.00,75.41,Pasti Pas Excellent,,
2025-05-28,2025-05-27,34-17116,III,2009,"Jl. Bintara, RT.006/RW.013, Bintara Jaya, Kec. Bekasi Barat",Kota Bekasi,DODO,SBM Karawang I Fuel,Re-CAE1,Re-CAE2,NOT CERTIFIED,NOT CERTIFIED,81.2,81.67,96.37,86.07,62.00,43.77,Basic,"Masa Berlaku APAR, APAB","Masa Berlaku APAR, NFR, Produk JBU, APAB"
