send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-06-26,2025-06-14,54-66224,V,2025,Ds. Bendungan Kec. Gondang,Kab Tulungagung,DODO,SBM Kediri II Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,85.98,88.33,100.00,81.41,87.00,44.81,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-06-26,2025-06-14,31-41101,III,2025,Jl. Tol Cipularang Km. 88 + 500 (A),Kab Purwakarta,COCO,SBM Karawang III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,95,93.33,96.35,93.00,100.00,94.70,Pasti Pas Excellent,,
2025-06-25,2025-06-14,34-40134,III,2025,Jl. H. Cokroaminoto Paskal,Kota Bandung,,SBM Bandung I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,93.42,96.00,100.00,93.50,100.00,59.20,Pasti Pas Excellent,,
2025-07-22,2025-06-14,54-85121,V,2025,Jl. Timor Raya Km. 22 Oebolo,Kab Kupang,,SBM NTT I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.67,94.00,100.00,94.60,97.50,58.00,Pasti Pas Good,,NFR
2025-06-25,2025-06-14,34-45223,III,2025,Jl.Raya Krangkeng Indramayu,Kab Indramayu,DODO,SBM Cirebon II Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,85.88,85.67,90.32,93.38,100.00,44.06,Pasti Pas Good,,"Produk JBU, NFR"
2025-06-20,2025-06-14,44-57212,IV,2009,Jl. Sragen - Mantingan KM 4. Pilangsari,Kab Sragen,DODO,SBM Yogyakarta IV Fuel,TAGE2,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,90.76,91.67,100.00,83.25,85.50,80.56,Basic,,Produk JBU
2025-06-15,2025-06-14,64-75301,VI,2025,"Jl.Brigjen Katamso, Kota Bontang",Kota Bontang,DODO,SBM Kaltimut III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,96.57,96.67,100.00,99.80,100.00,76.11,Pasti Pas Excellent,,
2025-06-25,2025-06-14,44-59427,IV,2025,"Jl Raya Tahunan-Batealit, Desa Mindahan, Kec Batealit",Kab Jepara,DODO,SBM Semarang III Fuel,Re-CAE1,TAGE1,CERTIFIED,NOT CERTIFIED,91.1,87.78,100.00,94.56,100.00,53.83,Pasti Pas Good,,"Produk JBU, NFR"
2025-06-27,2025-06-14,74-96230,VII,2025,Jl Trans Sulawesi Desa Lamo Kec Pilamota,Kab Boalemo,,SBM Sulutgo III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.13,91.33,100.00,99.80,88.00,49.70,Pasti Pas Good,,
2025-06-20,2025-06-14,34-15607,III,2025,Jl.Tol Jakarta-Merak KM. 45 Balaraja,Kab Tangerang,DODO,SBM Banten I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,93.26,96.67,100.00,93.66,98.00,57.08,Pasti Pas Good,,"NFR, Jalur Fast Track"
